indicator,sex,geo_area,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Adolescents 15-19 ans,Total,Nord,306870,312665,317841,320624,321551,323249,325798,332988,342144,350473
Adolescents 15-19 ans,Total,Nord-Ouest,238632,234245,232604,231782,229022,236046,244041,252999,260547,265065
Adolescents 15-19 ans,Total,Sud,67893,70849,73657,85881,98322,102306,104373,106029,98879,89277
Adolescents 15-19 ans,Total,Sud-Ouest,178595,178146,179539,181140,179241,181974,184628,189668,193821,198785
Adolescents 15-19 ans,Total,Ouest,228661,227788,224643,222859,219986,229233,235434,246497,258513,268406
Adolescents 15-19 ans,Total,Douala,245684,259612,273208,292316,303964,323350,339696,356452,367720,377349
Adolescents 15-19 ans,Total,Yaoundé,256643,270897,281494,302479,320244,331082,340050,350811,354003,353655
Population 20-24 ans,Total,Cameroun,2139501,2211520,2228702,2360137,2397765,2496176,2528037,2573003,2640492,2679084
Population 20-24 ans,Total,Adamaoua,115205,122332,124762,134777,134569,142453,141032,142201,143459,144901
Population 20-24 ans,Total,Centre (Sans Yaoundé),139758,137131,136734,139043,142664,144608,148900,152572,160278,167046
Population 20-24 ans,Total,Est,93481,98427,101728,109505,113221,120112,123553,127401,130184,134036
Population 20-24 ans,Total,Extrême-Nord,386179,421752,428369,477402,477815,511839,507521,514857,518188,512374
Population 20-24 ans,Total,Littoral (Sans Douala),61157,59227,57202,57209,57664,57905,58057,58427,58771,57385
Population 20-24 ans,Total,Nord,219259,238463,249279,276504,286189,307727,311615,315129,316027,315201
Population 20-24 ans,Total,Nord-Ouest,229853,230654,222887,228949,223483,223385,218913,217325,216332,213442
Population 20-24 ans,Total,Sud,63550,61612,61545,62163,64218,65254,68137,70934,82899,95060
Population 20-24 ans,Total,Sud-Ouest,172314,176449,172613,178398,176075,178075,177775,179414,181095,179360
Population 20-24 ans,Total,Ouest,203686,203364,199338,203145,199810,199649,198256,194795,192462,189075
Population 20-24 ans,Total,Douala,224204,227671,231731,240789,255903,268170,282585,296916,316427,328632
Population 20-24 ans,Total,Yaoundé,230855,234438,242514,252253,266154,276999,291693,303032,324370,342572
Population 25-29 ans,Total,Cameroun,1932802,1926313,2018123,2012021,2055278,2088689,2157670,2174993,2301631,2337421
Population 25-29 ans,Total,Adamaoua,98251,97952,104778,104463,110607,111568,118550,121057,130850,130713
Population 25-29 ans,Total,Centre (Sans Yaoundé),125686,128690,131622,132535,130488,130390,127717,127327,129459,132897
Population 25-29 ans,Total,Est,79965,79953,84391,85897,88978,91266,96142,99495,107125,110812
Population 25-29 ans,Total,Extrême-Nord,297148,294748,328590,325478,352545,360084,394439,400974,448387,448591
